情境,日文,振假名,羅馬拼音,中文翻譯,重點解析
餐廳點餐,いらっしゃいませ。,いらっしゃいませ,Irasshaimase,歡迎光臨。,店員迎接客人的固定問候語，客人不需回應，走進去點頭微笑即可。
餐廳點餐,何名様ですか？,なんめいさまですか,Nan-mei-sama desu ka,請問幾位？,「名様（めいさま）」是「幾人」的敬語說法，是詢問用餐人數的標準問法。
餐廳點餐,二人です。,ふたりです,Futari desu,兩位。,人數說法：一人＝ひとり、二人＝ふたり、三人以上＝さんにん、よにん…
餐廳點餐,こちらへどうぞ。,こちらへどうぞ,Kochira e dōzo,請往這邊走。,「どうぞ」是「請」的萬用語，配合手勢表示引導方向。
餐廳點餐,メニューをください。,めにゅーをください,Menyū o kudasai,請給我菜單。,「〜をください」是索取某物的基本句型，非常萬用。
餐廳點餐,これをひとつください。,これをひとつください,Kore o hitotsu kudasai,請給我這個一份。,指著菜單點餐時使用，加上數量更清楚。ひとつ＝1、ふたつ＝2。
餐廳點餐,おすすめは何ですか？,おすすめはなんですか,Osusume wa nan desu ka,有什麼推薦的嗎？,「おすすめ」即「推薦」，詢問店員建議，讓對方主動介紹招牌菜。
餐廳點餐,お水をください。,おみずをください,Omizu o kudasai,請給我水。,日本餐廳通常免費供水，直接開口要即可，「お」是禮貌前綴。
餐廳點餐,すみません、注文をお願いします。,すみません、ちゅうもんをおねがいします,Sumimasen chūmon o onegai shimasu,不好意思，麻煩點餐。,先說「すみません」吸引服務生注意，再說目的，這是日本呼叫服務的禮儀。
餐廳點餐,これはどんな料理ですか？,これはどんなりょうりですか,Kore wa donna ryōri desu ka,這是什麼樣的料理？,「どんな」意為「什麼樣的」，用來詢問料理的食材或特色。
餐廳點餐,辛いですか？,からいですか,Karai desu ka,辣嗎？,詢問料理特性，可替換成「甘い（あまい）甜嗎？」「しょっぱい（鹹嗎）？」。
餐廳點餐,アレルギーがあります。,あれるぎーがあります,Arerugī ga arimasu,我有過敏。,告知過敏，前面可加說「〇〇アレルギーがあります（我對〇〇過敏）」，如えびアレルギー（蝦子過敏）。
餐廳點餐,少なめにしてください。,すくなめにしてください,Sukuname ni shite kudasai,請給我少一點。,「〜めにしてください」表示程度調整，相反是「多め（おおめ）多一點」。
餐廳點餐,お会計をお願いします。,おかいけいをおねがいします,Okaikei o onegai shimasu,麻煩結帳。,「お会計（かいけい）」是付款的禮貌說法，也可說「お勘定（かんじょう）」。
餐廳點餐,全部でいくらですか？,ぜんぶでいくらですか,Zenbu de ikura desu ka,總共多少錢？,「いくら」是詢問價格的疑問詞，「全部で（ぜんぶで）」表示總計。
餐廳點餐,カードで払えますか？,かーどではらえますか,Kādo de haraemasu ka,可以刷卡嗎？,「〜で払う（はらう）」表示用某種方式付款，「払えますか」是「払えます（可以付）」的疑問形。
餐廳點餐,別々に払えますか？,べつべつにはらえますか,Betsubetsu ni haraemasu ka,可以各付各的嗎？,AA制分帳常用，「別々（べつべつ）」指分開、各別之意。
餐廳點餐,領収書をください。,りょうしゅうしょをください,Ryōshūsho o kudasai,請給我收據。,正式收據（可供報帳），與レシート（收銀明細）不同，出差時必備。
餐廳點餐,ごちそうさまでした。,ごちそうさまでした,Gochisōsama deshita,感謝款待／我吃完了。,吃完飯後對店員說的感謝語，是日本飲食文化重要禮儀，必學！
餐廳點餐,テイクアウトできますか？,てぃくあうとできますか,Teikuauto dekimasu ka,可以外帶嗎？,「〜できますか」詢問是否可以做某事，是非常萬用的句型。
便利商店,これはいくらですか？,これはいくらですか,Kore wa ikura desu ka,這個多少錢？,最基本的問價格句型，「これ」指近處的物品，「それ」指稍遠的物品。
便利商店,レジ袋はいりますか？,れじぶくろはいりますか,Reji bukuro wa irimasu ka,需要購物袋嗎？,日本購物袋通常另計費，「いりますか」即「需要嗎？」，「いりません」表示不需要。
便利商店,袋はいりません。,ふくろはいりません,Fukuro wa irimasen,不需要袋子。,「〜はいりません」表示不需要某物，是禮貌拒絕的方式。
便利商店,温めますか？,あたためますか,Atatamemasu ka,需要加熱嗎？,購買食品時店員常詢問是否要微波加熱，回答「はい、お願いします」或「いいえ、大丈夫です」。
便利商店,温めてください。,あたためてください,Atatamete kudasai,請幫我加熱。,「〜てください」是請求對方做某動作的基本句型，非常萬用。
便利商店,ポイントカードはありますか？,ぽいんとかーどはありますか,Pointo kādo wa arimasu ka,有點數卡嗎？,日本便利商店幾乎都有集點制度（如7-Eleven的nanaco），「ありますか」詢問是否持有。
便利商店,ポイントカードはありません。,ぽいんとかーどはありません,Pointo kādo wa arimasen,沒有點數卡。,「ありません」是「ある（有）」的否定形，表示「沒有」，與「いりません（不需要）」不同。
便利商店,カードで払います。,かーどではらいます,Kādo de haraimasu,我要刷卡付款。,主動告知付款方式，「〜で払います」清楚說明使用哪種方式付款。
便利商店,現金で払います。,げんきんではらいます,Genkin de haraimasu,我要付現金。,「現金（げんきん）」指現鈔，在部分小店或地方區域仍通用。
便利商店,お釣りはいりません。,おつりはいりません,Otsuri wa irimasen,不用找零了。,「お釣り（つり）」是找零錢的意思，表示不需要找零時說這句。
便利商店,トイレはどこですか？,といれはどこですか,Toire wa doko desu ka,廁所在哪裡？,「どこですか」是詢問地點的固定句型，把「トイレ」換成其他地點即可使用。
便利商店,ATMはありますか？,えーてぃーえむはありますか,Ētīemu wa arimasu ka,有ATM嗎？,日本便利商店幾乎都設有ATM，是外國觀光客非常好用的提款地點。
便利商店,コピー機はどこですか？,こぴーきはどこですか,Kopīki wa doko desu ka,影印機在哪裡？,日本便利商店的多功能機可列印、影印、掃描，旅遊非常好用。
便利商店,この商品はありますか？,このしょうひんはありますか,Kono shōhin wa arimasu ka,有這個商品嗎？,「商品（しょうひん）」指商品，詢問特定商品庫存時使用。
